Organization Name,Organization Name URL,Categories,Description,CB Rank (Company),Number of Employees,Last Funding Date,Founded Date,Founded Date Precision,LinkedIn,Website,Contact Email,Phone Number,Hub Tags,Founders,Last Funding Type,Funding Status,Closed Date,Closed Date Precision,Number of Founders,Top 5 Investors,Price,Price Currency,Price Currency (in USD),Number of Acquisitions,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD)
Goama,https://www.crunchbase.com/organization/goama,"E-Commerce, Gaming, Internet, Software",Goama is a mobile game company that provides a range of games for smartphones.,"130,706",11-50,2019-04-01,2017-02-17,day,https://www.linkedin.com/company/goama-gogames,https://www.gogames.co/,,,,"TARO ARAYA, Wayne Kennedy",Seed,Seed,,,2,"SOSV, MOX, Smart Axiata Digital Innovation Fund",,,,1,,,
Engrave.in,https://www.crunchbase.com/organization/engrave-in,E-Commerce,Photo etching and personalized gifts,"131,638",1-10,2019-01-01,2011-09-16,day,,http://engrave.in,support@engrave.in,+917680917497,,Nimish Adani,Venture - Series Unknown,,,,1,"India Quotient, The Morpheus, One97 Mobility Fund",,,,,,,
BlueOcean Pay,https://www.crunchbase.com/organization/blueocean-pay,"E-Commerce, FinTech, Information Technology, Mobile Payments, Payments, Tourism, Travel",BlueOcean Pay is a cross border payment solutions provider for Chinese outbound tourists.,"131,791",11-50,2019-02-28,2017-01-01,year,,http://www.blueoceanpay.com/,ricky@blueoceanpay.com,+852 3616 6006,,,Seed,Seed,,,,"IMO Ventures, HBCC Investment, Asia Phoenix Investments, ACH Worldwid",,,,,,,
Hebaodan,https://www.crunchbase.com/organization/hebaodan,E-Commerce,Hebaodan is a S2B2C e-commerce platform.,"132,577",,2019-01-02,2018-01-01,year,,,,,,,Seed,Seed,,,,Dyee Capital,,,,,3010000,USD,3010000
Avocado,https://www.crunchbase.com/organization/avocado-020f,"Apps, Delivery Service, E-Commerce, Food and Beverage, Internet, Retail, Retail Technology",E-commerce,"133,245",11-50,2019-03-30,2018-10-02,day,https://www.linkedin.com/company/avocadobr/,https://avocado.delivery/,,,,"Mariam Topeshashvili, Ramon Silva",Seed,Seed,,,2,"Canary, MAYA Capital",,,,,,,
Yumi,https://www.crunchbase.com/organization/yumi-0892,"E-Commerce, Information Technology",Yumi is the easiest way for brands anywhere in the world to publish a WeChat shop in less than 10 minutes & drive sales via social commerce.,"134,016",1-10,2019-04-29,2017-01-01,year,https://www.linkedin.com/company/yumisystem,https://yu-mi.us/,hello@yu-mi.us,+8613501601316,,,Seed,Seed,,,,"SOSV, Chinaccelerator, Blockchain Founders Fund, Aly Madhavji",,,,,,,
Kamtar,https://www.crunchbase.com/organization/kamtar,"Automotive, E-Commerce, Internet, Logistics, Transportation",Connecting customers with the best truck drivers in West Africa ,"135,061",11-50,2019-01-05,2018-01-10,day,https://www.linkedin.com/company/afrikamtar/,http://kamtar-ci.com,bonjour@kamtar-ci.com,+225 22 009 001 ,,"Arthur Thuet, Delas N'dri",Seed,Seed,,,2,Saviu Ventures,,,,,,,
Buying.com,https://www.crunchbase.com/organization/buying-com,"Cryptocurrency, E-Commerce, E-Commerce Platforms, Software",Buying.com is the first e-commerce platform that allows online stores and consumers to buy direct from manufacturers.,"135,254",,2019-02-05,,,https://www.linkedin.com/company/buying-com/,https://www.buying.com/,,973-868-1948,,Jean Gabriel,Seed,Seed,,,1,Christoph Lymbersky,,,,,,,
Goldn,https://www.crunchbase.com/organization/goldn,"Advice, Content, E-Commerce, Health Care, Parenting, Pet, Wellness",A wellness platform for dog owners.,"135,611",1-10,2019-03-06,2018-06-01,month,https://www.linkedin.com/company/goldn/,https://www.goldn.com/,hi@goldn.com,212.989.3802,,"Jared Kasner, Jennifer Kasner",Pre-Seed,Seed,,,2,,,,,,,,
Pearl,https://www.crunchbase.com/organization/pearl-gmbh,"E-Commerce, Sports",Pearl is an e-sports club.,"135,617",,2019-01-16,,,,https://www.pearl.de/,,49-7631-360-0,,,Angel,Seed,,,,,,,,,,,
Outfix,https://www.crunchbase.com/organization/outfix,"E-Commerce, Fashion, Retail Technology",Crowdsourced personal styling for an exclusive and confident shopping experience,"135,831",1-10,2019-04-15,2017-01-04,day,https://www.linkedin.com/company/outfix,https://outfixapp.com,alex@outfixapp.com,9177141066,,Alex Stokes,Seed,Seed,,,1,,,,,,,,
Noibu,https://www.crunchbase.com/organization/noibu,"E-Commerce, Enterprise Software, Retail Technology, Software",Noibu is a platform that detects critical errors on ecommerce websites.,"136,749",1-10,2019-01-01,2017-03-07,day,https://www.linkedin.com/company/11052583/,https://www.noibu.com/,info@noibu.com,8193193981,,"Dan Cardamore, Filip Slatinac, Kailin Noivo, Robert Boukine",Angel,Seed,,,4,Capital Angel Network,,,,,,,
Shani Darden,https://www.crunchbase.com/organization/shani-darden,"Beauty, E-Commerce",Shani Darden is an online skin care products marketplace.,"137,356",,2019-05-31,2013-01-01,year,https://www.linkedin.com/company/shani-darden,https://www.shanidarden.com/,help@shanidarden.com,+1 310-893-7054,,,Seed,Seed,,,,BAM Ventures,,,,,,,
Yuanchuang Excellence,https://www.crunchbase.com/organization/yuanchuang-excellence,E-Commerce,Yuanchuang Excellence is a community group buying platform.,"137,851",,2019-01-10,2017-01-01,year,,,,,,,Seed,Seed,,,,,,,,,300000,USD,300000
StyleUp,https://www.crunchbase.com/organization/easy-order-network-and-styleup-pte-ltd,"Beauty, E-Commerce, Health Care, Internet, Leisure, Lifestyle",The best automated  support as a service in Care.,"139,430",1-10,2019-05-31,2017-01-16,day,https://www.linkedin.com/company/17991469/admin/,https://styleup.biz,irene.sung@styleup.fashion,,,"Augustin W, Chi yi Kuan, Irene Sung, Leon Chiang",Pre-Seed,Seed,,,4,Leon Chiang,,,,,,,
Yingyan Zhixuan,https://www.crunchbase.com/organization/yingyan-zhixuan,E-Commerce,Yingyan Zhixuan is a community-based group buying platform.,"140,032",,2019-01-28,2019-01-01,year,,,,,,,Angel,Seed,,,,Shenzhen Lanhai Zhongli Capital Management,,,,,445500,USD,445500
PackMojo,https://www.crunchbase.com/organization/packmojo,"E-Commerce, E-Commerce Platforms, Fashion, Graphic Design, Internet, Manufacturing, Packaging Services, Printing, Web Apps, Web Design","Easy, accessible, and affordable packaging for the modern day business.","140,252",1-10,2019-04-03,2018-05-28,day,http://linkedin.com/company/packmojo,https://packmojo.com/,support@packmojo.com,,,"Vincent Choi, Wendy Chan",Seed,Seed,,,2,Betatron,,,,,,,
Vroom Delivery,https://www.crunchbase.com/organization/vroom-delivery,"E-Commerce, Food and Beverage, Food Delivery, Retail, SaaS",Vroom Delivery is the first eCommerce platform specifically designed for the $233B convenience store industry,"141,729",,2019-05-15,2016-01-01,year,,https://www.vroomdelivery.com/,,,,"Jeffrey Nelson, John Nelson",Pre-Seed,Seed,,,2,"NFX, Blue Startups, Hawaii Angels",,,,,,,
Easebuzz,https://www.crunchbase.com/organization/easebuzz,"Business Development, E-Commerce, Internet, Online Portals, Software",Easebuzz is an easy to use portal which allows you to start an online business and sell your favorite products with a free online store.,"144,004",,2019-05-13,2015-01-01,day,,https://easebuzz.in/,support@easebuzz.in,+91 8275303542,,Rohit Prasad,Seed,Seed,,,1,GenNext Ventures,,,,,,,
Via,https://www.crunchbase.com/organization/via-eb38,"E-Commerce, Information Technology, Internet, Small and Medium Businesses",SaaS customer engagement platform that helps businesses with customer discovery and customer acquisition,"146,400",1-10,2019-05-01,2018-07-01,month,,http://viacustomer.com,,,,"Greg Woodfield, Tejas Konduru",Pre-Seed,Seed,,,2,,,,,,,,
Wabi,https://www.crunchbase.com/organization/wabi-2c5b,"E-Commerce, Food and Beverage, Grocery",On-demand grocery delivery at your doorstep,"149,405",,2019-01-01,2019-01-01,day,https://www.linkedin.com/company/wabi-inc/,,,,,Alejandro Arauz,Series A,Early Stage Venture,,,1,The Coca-Cola Company,,,,,15000000,USD,15000000
Farm And Rancher,https://www.crunchbase.com/organization/farm-and-rancher,"Advertising, B2B, E-Commerce, Education, Location Based Services, Online Forums, Social Network","Social, Geo Locate, B2B, B2C","150,646",1-10,2019-05-01,2019-04-17,day,https://linkedin.com/in/FarmAndRancher,https://farmandrancher.com,contact@farmandrancher.com,(970) 749-1921,,Cara Randolph,Seed,Seed,,,1,,,,,,,,
Fekkai,https://www.crunchbase.com/organization/fekkai,"E-Commerce, Fashion, Fitness, Food and Beverage, Health Care",Lifestyle beauty brand,"152,246",,2019-02-01,,,,https://www.fekkai.com/,,,,Frederic Fekkai,Series A,Early Stage Venture,,,1,Fernbrook Capital Management LLC,,,,,,,
Invent Inc.,https://www.crunchbase.com/organization/invent-inc,E-Commerce,"We create brands that are relevant and creative, using e-commerce to get them across the globe.","152,410",11-50,2019-01-01,2017-02-01,day,https://www.linkedin.com/company/19153189/,https://inventinc.io,hello@inventinc.io,,,Ibrahim Ali,Seed,Seed,,,1,,,,,,,,
SameDayCustom,https://www.crunchbase.com/organization/samedaycustom,"E-Commerce, Internet, Machine Learning, Printing, Retail, Retail Technology, Software",An on demand custom printing platform that allows local pickup for your printed merchandise anywhere nationwide.,"155,366",11-50,2019-02-07,2016-09-01,month,https://www.linkedin.com/company/samedaycustom,http://www.samedaycustom.com,sam@samedaycustom.com,6097701181,,Sam Badah,Seed,Seed,,,1,,,,,,,,
ChatQuery,https://www.crunchbase.com/organization/chatquery,"Artificial Intelligence, Data Visualization, E-Commerce, Retail",ChatQuery is an AI-powered intelligent way to query your database,"157,493",,2019-02-10,2017-01-01,day,,https://www.chatquery.com,hello@chatquery.com,,,"Alex Man, David Yang",Convertible Note,,,,2,"XRC Labs, Quake Capital Partners",,,,,,,
Paymango,https://www.crunchbase.com/organization/paymango,"E-Commerce, Mobile Payments",PayMango brings power of internet and mobile to local businesses.,"159,450",11-50,2019-01-01,2014-01-01,year,,https://www.paymango.com,help@paymango.com,911244146529,,,Venture - Series Unknown,,,,,Smile Group,,,,,,,
Petbnb.nl,https://www.crunchbase.com/organization/petbnb-2,"E-Commerce, Internet",Petbnb connects dog lovers with dog owners looking for a trusted sitter for their pooch,"159,549",1-10,2019-02-01,2015-09-01,day,https://www.linkedin.com/company/petbnb.nl/,https://www.petbnb.nl,,+31 20 894 3730,,Nicholas Latham,Seed,Seed,,,1,,,,,,,,
Junk King,https://www.crunchbase.com/organization/junk-king,E-Commerce,Junk King provides junk removal services.,"160,926",,2019-04-24,2005-01-01,year,,https://www.junk-king.com/,,,,,Venture - Series Unknown,,,,,Norwest Venture Partners,,,,,,,
Fab Fad,https://www.crunchbase.com/organization/fab-fad,"Advertising, E-Commerce, Fashion, Manufacturing",FABFAD has the largest selection of fabrics for Digital Sublimation Printing and Direct to Fabric Printing.,"161,597",11-50,2019-02-01,2014-01-01,year,https://www.linkedin.com/company/fabfad/,https://www.fabfad.com,,,,,Seed,Seed,,,,EXPERT DOJO,,,,,,,
myPanier,https://www.crunchbase.com/organization/mypanier-com,"E-Commerce, Food and Beverage",myPanier combines the authenticity and integrity of a farmer's market with the convenience and diversity of a digital store.,"163,160",1-10,2019-05-01,2016-02-02,day,https://www.linkedin.com/company/mypanier-inc.,https://www.mypanier.com,info@mypanier.com,(800) 605-5064,,Christophe Boyac,Seed,Seed,,,1,,,,,,,,
Paleo Robbie,https://www.crunchbase.com/organization/paleo-robbie,"E-Commerce, E-Commerce Platforms, Food Delivery, Retail, Wellness",verticaly integrated e-com,"168,737",11-50,2019-01-01,2013-03-01,day,,https://paleorobbie.com,erik@paleorobbie.com,+66809222100,,,Series A,Early Stage Venture,,,,,,,,,,,
Valigara Online,https://www.crunchbase.com/organization/valigara-online,"E-Commerce, Jewelry, SaaS, Software","SaaS, eCommerce, Multi-channel marketing, jewelry management software, diamonds inventory, online catalog","169,885",1-10,2019-05-01,2012-07-09,day,https://www.linkedin.com/company/valigara,http://www.valigara.com,yes@valigara.com,+972547575475,,,Seed,Seed,,,,,,,,,,,
Primal Wine,https://www.crunchbase.com/organization/primal-wine,"E-Commerce, Food and Beverage","Natural, Biodynamic, Organic Wine","171,775",,2019-04-29,2018-10-01,day,,https://primalwine.com/,hello@primalwine.com,3233467175,,Guido Cattabianchi,Pre-Seed,Seed,,,1,Giovanni Gardelli,,,,,,,
BabySouk,https://www.crunchbase.com/organization/babysouk,"E-Commerce, Retail, Shopping","BabySouk is an online premium store for baby, toddler and parenting products.","173,004",,2019-02-20,,,,https://www.babysouk.com/,,971 4 3214 328,,,Venture - Series Unknown,,,,,Mad'a Investment,,,,,,,
myLieferung,https://www.crunchbase.com/organization/mylieferung,"E-Commerce, Food Delivery, Subscription Service, Water Transportation",myLieferung is the last-mile subscription company that delivers FMCGs to user´s doorstep each week.,"176,435",11-50,2019-03-24,2018-01-01,year,,https://mywasser.com,,,,"Arne Wüllner, Felix Buschkotte",Seed,Seed,,,2,,,,,,,,
Jump The Q,https://www.crunchbase.com/organization/jump-the-q,"Apps, E-Commerce, Mobile Apps, Retail, Social Media","Jump the Q is a must have convenience app. Grocery, laundry, cleaning, quick eats & services all with a few clicks. ","177,602",1-10,2019-01-10,2017-03-15,day,https://www.linkedin.com/company/jumptheq,http://www.jumptheque.ae/,info@jumptheque.ae,00971556456697,,Aaron Nkombou Munga,Pre-Seed,Seed,,,1,"Hilma David, Nabil Abdul Rahman",,,,,,,
Daily Food,https://www.crunchbase.com/organization/daily-food,"Artificial Intelligence, E-Commerce, Food Delivery, Social Network, Subscription Service",FOOD 4.0 SERVICE,"177,885",11-50,2019-01-23,2018-01-01,year,https://www.linkedin.com/company/14651567,http://www.dailyfood.hk/,info@dailyfood.hk,,,,Seed,Seed,,,,,,,,,,,
TresGo,https://www.crunchbase.com/organization/tresgo,"E-Commerce, Logistics, Supply Chain Management",TresGo is a e-fulfilment provider of Malaysia.,"178,410",1-10,2019-02-25,2017-01-01,year,https://in.linkedin.com/company/tresgo,https://tresgo.my/,nadhra@tresgo.my,+60 13-588 1061,,Safiyya Azman,Seed,Seed,,,1,Cradle Fund Sdn Bhd (Cradle),,,,,,,
CarRecord,https://www.crunchbase.com/organization/carrecord-ltd,"Automotive, Database, E-Commerce, Internet",CarRecord is a vehicle history and data provider operating in Australia and the US.,"179,431",,2019-02-13,2016-01-01,year,https://au.linkedin.com/company/carrecord,https://carrecord.com.au/,info@carrecord.com.au,,,Jarrod Sierocki,Series A,Early Stage Venture,,,1,,,,,,,,
ubique,https://www.crunchbase.com/organization/ubique-7362,"E-Commerce, Information Technology, Manufacturing, Software","Bit Delivery, anywhere, everywhere","179,927",1-10,2019-03-15,2019-02-01,month,https://www.linkedin.com/company/35540286/admin/,http://www.ubique.world,hello@ubique.world,+39.328.3799103,,Francesco Colorni,Pre-Seed,Seed,,,1,,,,,,,,
Induo,https://www.crunchbase.com/organization/induo,"E-Commerce, Fashion, Lifestyle, Manufacturing",Induo Invisible Technology has created a shirt fabric repellent and breathable.,"180,124",,2019-03-19,,,https://www.linkedin.com/company/7934763,http://www.induo.fr/,,,,"Pauline Guesné, Sebastien François",Seed,Seed,,,2,"MassChallenge, True., Karot Capital",,,,,,,
Mayixianzhi,https://www.crunchbase.com/organization/mayixianzhi,E-Commerce,Mayixianzhi is a E-commerce Service provider.,"183,731",,2019-01-14,2018-01-01,year,,,,,,,Seed,Seed,,,,,,,,,150000,USD,150000
Cartlow,https://www.crunchbase.com/organization/cartlow,E-Commerce,Mobile App,"186,989",1-10,2019-05-01,2019-05-01,day,https://www.linkedin.com/company/cartlow,https://tiredeets.com/,hello@cartlow.com,00971 43 360 013,,Mohammad Sleiman,Seed,Seed,,,1,,,,,,,,
Viravira.co,https://www.crunchbase.com/organization/viravira-co,"E-Commerce, Internet, Internet of Things",Viravira is an online marketplace that connects boat owners and renters.,"187,524",,2019-02-14,2016-11-18,day,,https://www.viravira.co/en,,+90 850 433 9070,,,Seed,Seed,,,,"Ali Rıza Yıldırım, Şevket Başev, Murat Akbudak, Demirhan Şener",,,,,98000,USD,98000
QuestHunter,https://www.crunchbase.com/organization/questhunter,"E-Commerce, Marketplace, Media and Entertainment, Travel",QuestHunter is a marketplace for discovery and booking of escape rooms,"187,573",1-10,2019-05-01,2017-01-01,year,https://www.linkedin.com/company/questhunter/,https://questhunter.hu/en/,info@questhunter.co.uk,+44 20 8089 1817,,Andrey Kalinchuk,Pre-Seed,Seed,,,1,Nick Pendleton,,,,,,,
Just Vertical,https://www.crunchbase.com/organization/just-vertical,"Agriculture, E-Commerce, Hardware",Hydroponics Farming,"188,800",,2019-02-12,,,https://www.linkedin.com/company/just-vertical/,https://www.justvertical.com/,,,,"Conner Tidd, Kevin Jakiela",Seed,Seed,,,2,CBA,,,,,,,
uSizy,https://www.crunchbase.com/organization/usizy,"Big Data, E-Commerce, Fashion, Information Technology, Machine Learning","uSizy is a privately held company that recommends the right size for clothing and footwear, boosting purchases and reducing returns","191,633",,2019-03-04,,,https://www.linkedin.com/company/18492413,https://www.usizy.com,,,,,Seed,Seed,,,,TheVentureCity Growth Accelerator,,,,,,,
Munafa Mart,https://www.crunchbase.com/organization/munafa-mart,"E-Commerce, Retail",Munafa Mart is a retail business company.,"192,568",,2019-01-01,,,,https://munafamart.co.in/,connect@gparetail.com,,,,Venture - Series Unknown,,,,,GPA group,,,,,,,
